Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,labels,Development_Level
Grenada,0.018821754240587758,7.413923921980481,3.1152232515555305,9.213726938772345,20.34435351522269,0.061529189946861754,6.0340081357573405,0.012384532572390644,0.17589066646366422,0.09991494619107313,4.31748811353631,4.250690632612795,0.46518434280978666,0.2627783798932926,0.4849396070444092,0.0723922153702187,11.546110247007404,0.30640946125269725,18.442743268997773,16.148401097468568,3,Emerging
Guam,0.01904819497069448,9.163563180417254,3.332204510175204,9.579003173560242,23.518315240553033,0.05921185963184608,5.2390980068880655,0.020782539182528502,0.3528213746227424,0.11332868530700319,4.389689507419451,4.322603214203081,0.37421256460406,0.25392639872955797,0.49802091535813137,0.06348026907863878,11.973372032176323,0.6611403844248589,20.418098451510463,19.972489545668473,3,Emerging
Guatemala,0.033509167010578926,9.318691028089543,3.566277132021604,9.073550930416758,24.18045459050181,0.06427406309470228,5.077574776771365,0.03216928293339165,0.07410797215372189,0.13748510485503762,4.309249137991758,4.210416733474855,0.5260930958967791,0.3555743384946993,0.4254688212686855,0.042101176018635396,16.38424008111473,0.38943995255807173,20.657208214907826,20.243988572530252,2,Developing
Guinea,0.038924811390506776,7.837281116097601,3.627413132013335,9.579003173560242,22.077592658001162,0.056598428017321796,3.1618983901256605,0.07987701347363785,0.0,0.1183982310003015,4.003128553950439,3.9875585295730533,0.18232155679395465,0.36036045179590837,0.42752762337178163,0.03194579427451082,16.11107465364592,0.2872011876144302,19.47074899550545,17.428505341524293,0,Under Developed
Guinea-Bissau,0.03907277321662565,7.401700770032232,3.6714202327421677,9.214056535402712,20.272624697728332,0.05725242651463571,3.295836866004329,0.08991101512655425,0.0,0.11332868530700319,4.007333185232471,3.9615455021092534,0.2741291060470774,0.3549812026761724,0.43447608793007186,0.029185319510779097,14.19278815600038,0.3489761533883633,18.998676045335426,18.661694445974017,0,Under Developed
Guyana,0.0216109460529634,7.931340040685662,3.475305353815877,9.22636513304888,21.119360564511044,0.05579851523787673,4.740910675222472,0.03432710214187732,0.1497453863593419,0.1402300602156528,4.232991055513394,4.139464997502571,0.3582122232576188,0.3123371608859725,0.46759688921517056,0.03677690107318381,13.551054106398896,0.24962068701834605,17.81300531255804,17.840862266556567,3,Emerging
Haiti,0.027989236539448757,8.055694828094888,3.9408347026666917,8.135301871373342,22.362355295461615,0.05768818801474059,3.530875204970688,0.063696820853405,0.06693948267510934,0.18377882779193302,4.139464997502571,4.082739016101793,0.18232155679395465,0.3202981829171824,0.4574735313454988,0.04158478044816184,16.054204903559775,0.3752173506427456,18.858935681335133,19.504829973974815,0,Under Developed
Honduras,0.028138825170991724,8.928334467253404,3.4450915752193807,8.480433447592317,23.186407599638585,0.07653359936856025,4.884548647921313,0.024767656678808654,0.08122543992258587,0.1803645148308422,4.321582285068974,4.255067007212594,0.40032370860774574,0.3302440907138415,0.44911387277717774,0.04077276253915027,15.769384864799562,0.39985968343894424,20.00187744933348,19.62041380703301,3,Emerging
"Hong Kong SAR, China",0.009721820359733627,10.438380452697617,2.6168341928305483,9.534395171003505,26.01527891277867,0.05921185963184608,5.2390980068880655,0.020782539182528502,0.4554755286828257,0.057542955279026746,4.458809597276907,4.3849070975392355,0.8913673234216982,0.13136558742225243,0.5522480533736303,0.11538700507315754,15.743741310446543,0.6931471805599453,22.695052566554256,22.230560275933318,1,Highly Developed
Hungary,0.009569451016150707,10.789797947181503,3.1780538303479458,10.158684178914537,25.38840019424178,0.07560684827745777,6.727615954770315,0.007204752557362889,0.3582122232576188,0.09468061103812098,4.36260854881678,4.252881213992613,0.6618946370558408,0.1436340348023321,0.5220394363640065,0.1484200051182733,16.125461006167495,0.5127314987396218,22.382694657759934,21.70266137074105,1,Highly Developed
Iceland,0.014433791382211,8.100744911566032,2.5470384308950065,8.379009234136696,23.30729890765062,0.09152680809462532,7.195187320178709,0.002381776701232193,0.5962973545700276,0.13748510485503762,4.434473110046424,4.391596085690033,0.7008100533055145,0.1976521582451769,0.5082993585202826,0.1122979344856282,12.622013460547205,0.6582371629937486,20.24050424845328,20.420704384080828,1,Highly Developed
India,0.022739486969489426,11.484372449063681,3.6077945368619564,10.815553990013585,26.239006144556786,0.04032956560472778,3.6396084051071536,0.05281137229321238,0.03030534949532895,0.10802619035718257,4.202393767803855,4.156476343329107,0.21386991452888054,0.27611543608031547,0.491125145098616,0.04673677535758988,17.760591909837135,0.25916388243163524,22.522370062333952,22.208683030760994,2,Developing
Indonesia,0.020481130092762666,11.484372449063681,3.900417459307838,10.815553990013585,26.162370173072258,0.02619242539495073,3.954197930478859,0.031945794274510816,0.04512043528046959,0.14076478384312552,4.277733924776886,4.220638287546393,0.3528213746227424,0.2624234343145542,0.5014277556617863,0.04776399681411992,17.760591909837135,0.38342921970898397,22.493487328043788,22.186788297787686,2,Developing
"Iran, Islamic Rep.",0.01836871889608304,11.484372449063681,3.174843554717697,10.815553990013585,25.997495822268377,0.055434706888100586,5.584941186940885,0.020782539182528502,0.09531017980432487,0.11928617887463336,4.31028272981504,4.267004208104319,0.2915208487589466,0.23707680043186152,0.5210348700694808,0.04754396674245589,17.760591909837135,0.5193430930719345,21.18336480800414,21.977522195559672,2,Developing
Iraq,0.033285977633466746,11.307028486680085,3.502318153061946,10.231938695030765,25.160578570694366,0.031796774081999,4.4632520745964674,0.03194579427451082,0.022814677766171347,0.13210730216580763,4.297808555589865,4.2138355402236405,0.3582122232576188,0.349138927051944,0.4367649877700018,0.03373230658530821,17.151183639092753,0.5237266617351922,20.42827507099494,20.5396203283919,2,Developing
Ireland,0.015494719035527313,10.53898117406754,2.8988824475640733,9.563869604116777,25.968068043364394,0.07617725827509852,7.195187320178709,0.004375030964364792,0.4054651081081644,0.07795769530846923,4.413264385169161,4.355722146787147,0.6892936112439554,0.19138294225872168,0.5169147397217415,0.10636770058445251,15.262464255230176,0.47465625053642424,22.53883572878656,22.15765414947799,1,Highly Developed
Isle of Man,0.010939940038334364,9.163563180417254,3.332204510175204,9.579003173560242,21.809466075723652,0.05921185963184609,5.2390980068880655,0.020782539182528502,0.09531017980432487,0.11332868530700317,4.360973225476049,4.276666119016055,0.4054651081081644,0.262364264467491,0.4959150110302365,0.050693114315518116,11.291854763816948,0.4180522236136358,20.418098451510463,19.972489545668473,3,Emerging
Israel,0.021234482546653725,10.949827660306225,3.122025998878283,9.93969707981158,25.860739849767796,0.07332194903275675,7.195187320178709,0.004375030964364792,0.34740130715340317,0.07410797215372189,4.425307143032344,4.39634668844863,0.7492366472109889,0.244272598677045,0.48323304109337334,0.09698709467464953,15.772946479924284,0.65011922906371,22.175779997604998,22.121498270501668,1,Highly Developed
Italy,0.009493257637318463,11.484372449063681,2.7677694358038325,10.873006206198845,26.239006144556786,0.08335083923489932,7.195187320178709,0.003838776307165681,0.3309625808102433,0.05587126102774623,4.4444595752471,4.375273111658102,0.8160453168830992,0.13197248585282959,0.5082530868593531,0.17936848281121484,17.760591909837135,0.5179692777713704,22.695052566554256,22.230560275933318,1,Highly Developed
Jamaica,0.016705831135725886,9.252684899162814,2.819545705327552,8.408613825600511,23.17887499770388,0.04886342155930397,5.386257799011434,0.017386437658009613,0.15634607039069398,0.17097538040665305,4.326676539590717,4.250690632612795,0.570544858467613,0.26685122441009057,0.480667719021452,0.0741793981742515,14.790939544209456,0.4252174576195727,21.354455777911163,19.39813894046717,3,Emerging
Japan,0.008731004379890937,11.484372449063681,3.2639962601486703,10.873006206198845,26.239006144556786,0.08243038744052583,7.195187320178709,0.0026886899239283164,0.5031035776720805,0.01753762066532758,4.461477451238099,4.381064633637691,0.5877866649021191,0.12886668361284875,0.5048694594451525,0.18456263344826784,17.760591909837135,0.6219403215488083,22.653939620886348,22.230560275933318,1,Highly Developed
Jordan,0.02933472934222393,9.782379765243991,3.08226276570627,8.843082149662507,23.576339651967857,0.08709470685093376,5.585518554162467,0.019727209671044982,0.15634607039069398,0.08808131721990019,4.321582285068974,4.2809305178025125,0.5077439572285826,0.3155404005801774,0.46783782404346536,0.03202029604396231,15.528060486227886,0.5956615592746883,21.644008184521695,20.613365116721557,3,Emerging
